orders_per_shift,shift_minutes,capex,labor_cost_per_hour,workdays_per_year,shifts_per_day,forklift_reel_changes_per_hour,forklift_oee,forklift_utilization_pct_avg,forklift_starvations,forklift_distance_km,forklift_completed_orders,forklift_total_vehicle_minutes,ingetrans_reel_changes_per_hour,ingetrans_oee,ingetrans_utilization_pct_avg,ingetrans_starvations,ingetrans_distance_km,ingetrans_completed_orders,ingetrans_total_vehicle_minutes,delta_reel_changes_per_hour,delta_completed_orders,saved_hours_per_shift,saved_hours_per_year,saved_cost_per_year,estimated_payback_years
80,480,250000.0,20.0,220,1.0,6.0,0.65,98.0,5,20.0,64,1411.1999999999998,12.0,0.92,68.0,0,6.5,80,326.40000000000003,-6.0,-16,18.079999999999995,3977.599999999999,79551.99999999999,3.142598551890588
80,480,250000.0,20.0,220,2.0,6.0,0.65,98.0,5,20.0,64,1411.1999999999998,12.0,0.92,68.0,0,6.5,80,326.40000000000003,-6.0,-16,18.079999999999995,7955.199999999998,159103.99999999997,1.571299275945294
80,480,250000.0,20.0,250,1.0,6.0,0.65,98.0,5,20.0,64,1411.1999999999998,12.0,0.92,68.0,0,6.5,80,326.40000000000003,-6.0,-16,18.079999999999995,4519.999999999999,90399.99999999999,2.7654867256637172
80,480,250000.0,20.0,250,2.0,6.0,0.65,98.0,5,20.0,64,1411.1999999999998,12.0,0.92,68.0,0,6.5,80,326.40000000000003,-6.0,-16,18.079999999999995,9039.999999999998,180799.99999999997,1.3827433628318586
80,480,250000.0,25.0,220,1.0,6.0,0.65,98.0,5,20.0,64,1411.1999999999998,12.0,0.92,68.0,0,6.5,80,326.40000000000003,-6.0,-16,18.079999999999995,3977.599999999999,99439.99999999997,2.5140788415124704
80,480,250000.0,25.0,220,2.0,6.0,0.65,98.0,5,20.0,64,1411.1999999999998,12.0,0.92,68.0,0,6.5,80,326.40000000000003,-6.0,-16,18.079999999999995,7955.199999999998,198879.99999999994,1.2570394207562352
80,480,250000.0,25.0,250,1.0,6.0,0.65,98.0,5,20.0,64,1411.1999999999998,12.0,0.92,68.0,0,6.5,80,326.40000000000003,-6.0,-16,18.079999999999995,4519.999999999999,112999.99999999997,2.2123893805309742
80,480,250000.0,25.0,250,2.0,6.0,0.65,98.0,5,20.0,64,1411.1999999999998,12.0,0.92,68.0,0,6.5,80,326.40000000000003,-6.0,-16,18.079999999999995,9039.999999999998,225999.99999999994,1.1061946902654871
80,480,250000.0,30.0,220,1.0,6.0,0.65,98.0,5,20.0,64,1411.1999999999998,12.0,0.92,68.0,0,6.5,80,326.40000000000003,-6.0,-16,18.079999999999995,3977.599999999999,119327.99999999997,2.095065701260392
80,480,250000.0,30.0,220,2.0,6.0,0.65,98.0,5,20.0,64,1411.1999999999998,12.0,0.92,68.0,0,6.5,80,326.40000000000003,-6.0,-16,18.079999999999995,7955.199999999998,238655.99999999994,1.047532850630196
80,480,250000.0,30.0,250,1.0,6.0,0.65,98.0,5,20.0,64,1411.1999999999998,12.0,0.92,68.0,0,6.5,80,326.40000000000003,-6.0,-16,18.079999999999995,4519.999999999999,135599.99999999997,1.843657817109145
80,480,250000.0,30.0,250,2.0,6.0,0.65,98.0,5,20.0,64,1411.1999999999998,12.0,0.92,68.0,0,6.5,80,326.40000000000003,-6.0,-16,18.079999999999995,9039.999999999998,271199.99999999994,0.9218289085545724
80,480,350000.0,20.0,220,1.0,6.0,0.65,98.0,5,20.0,64,1411.1999999999998,12.0,0.92,68.0,0,6.5,80,326.40000000000003,-6.0,-16,18.079999999999995,3977.599999999999,79551.99999999999,4.399637972646823
